route_id,route_short_name,route_long_name,route_type,route_url
1,1,Parque del Sur - Alameda Principal - San Andrés,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=1
2,2,Alameda Principal - Ciudad Jardín,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=2
3,3,Puerta Blanca - Alameda Principal - El Palo (Olias),3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=3
4,4,Paseo del Parque - Cruz Humilladero - Cortijo Alto,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=4
5,5,Alameda Principal - Guadalmar - Parque de Ocio,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=5
7,7,Parque Litoral - Alameda Principal - Carlinda,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=7
8,8,El Palo - Carlos Haya - Clínico,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=8
9,9,Alameda Principal - Churriana por C/Maestro Vert,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=9
10,10,Alameda Principal - Churriana por C/ Torremolinos,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=10
11,11,Universidad - Alameda Principal - El Palo (P. Virginia),3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=11
14,14,Paseo de la Farola - Carranque - Teatinos,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=14
15,15,Virreina - Carlos Haya - Santa Paula,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=15
17,17,Alameda Principal - Las Virreinas - La Palma ,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=17
18,18,Ciudad Jardín - Teatinos,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=18
19,19,Paseo del Parque - Campanillas - Maqueda (Por O. Gasset),3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=19
20,20,Alegría de la Huerta - Alameda Principal - Los Prados,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=20
21,21,Paseo del Parque - Carlos Haya - Puerto de la  Torre,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=21
22,22,Avda. de Moliere - Tiro de Pichón - Universidad,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=22
23,23,Paseo del Parque - El Consul -  Parque Cementerio,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=23
25,25,Paseo del Parque - Campanillas - Maqueda,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=25
27,27,Avda. M. A. Heredia - Santa Bárbara - P. I. Guadalhorce,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=27
28,28,Santa Águeda - Campanillas - Bda. Los Nuñez,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=28
29,29,Jarazmín - El Palo - Jarazmín,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=29
30,30,Alameda Principal - Mangas Verdes,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=30
31,31,Paseo del Parque - Carranque - Palacio Deportes,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=31
32,32,Av. Andalucía - Limonar - Mayorazgo,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=32
33,33,Av. Andalucía - Cerrado de Calderón,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=33
34,34,Av. Andalucía  - Pedregalejo,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=34
35,35,Av. Andalucía - Gibralfaro,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=35
36,36,Av. Andalucía - Conde Ureña,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=36
37,37,Av. Andalucía - Altamira - Monte Dorado,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=37
38,38,Paseo del Parque - Granja Suárez - San Alberto,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=38
40,40,Paseo de la Farola - Sacaba Beach,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=40
41,N1,Puerta Blanca - Alameda Principal - El Palo (Nocturno 1),3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=41
42,N2,Plaza de la Marina - Circular (Nocturno 2),3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=42
44,N4,Paseo del Parque - Teatinos - Pto. de la Torre (Nocturno 4),3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=44
62,62,Puerto de la Torre - Universidad,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=62
64,64,Alameda Principal - Cruz de Humilladero - Rastro,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=64
65,L,UMA - Ampliación Campus,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=65
66,M,Metrobús - Parque Tecnológico de Andalucía,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=66
70,70,Paseo del Parque - PTA  (Exprés),3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=70
71,C1,CIRCULAR 1,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=71
72,C2,CIRCULAR 2,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=72
73,C3,CIRCULAR C3 - PARQUE CLAVERO,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=73
75,A,Paseo del Parque -  Aeropuerto (Exprés),3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=75
76,C6,CIRCULAR C6 - LA MILAGROSA,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=76
78,C8,CIRCULAR C8 - CHURRIANA,3,http://www.emtmalaga.es/emt-mobile/informacionLinea.html?codLinea=78